coreid,startdate,day,resp,nep,gpp
1,2020-08-18,14,-0.010131594634873318,-0.0046607829181494675,0.00547081171672385
2,2020-08-18,14,-0.011028833551769342,0.0029875053304904073,0.01401633888225975
3,2020-08-18,14,-0.014599841897233198,0.004387596017069703,0.0189874379143029
4,2020-08-18,14,-0.019643095238095227,0.005801702127659572,0.0254447973657548
5,2020-08-18,14,-0.0127005577689243,0.002393493975903615,0.015094051744827915
6,2020-08-18,14,-0.010698320610687031,-0.002997787234042552,0.007700533376644479
7,2020-08-18,14,-0.01489293577981652,4.1146496815288184e-5,0.014934082276631807
8,2020-08-18,14,-0.013059813084112156,0.0025290509915014145,0.015588864075613572
9,2020-08-18,14,-0.009206800618238028,-0.0030744169611307427,0.006132383657107285
10,2020-08-18,14,-0.01632824797843665,0.002030622347949079,0.018358870326385727
11,2020-08-18,14,-0.011158229813664596,-0.0027197597173144903,0.008438470096350105
12,2020-08-18,14,-0.010964654939106906,-0.0010387553041018372,0.009925899635005068
13,2020-08-18,14,-0.009876963123644248,-0.0038898305084745753,0.005987132615169673
14,2020-08-18,14,-0.01272374414976599,-0.003737360621030346,0.008986383528735644
15,2020-08-18,14,-0.011520769230769234,-0.002666703988803357,0.008854065241965876
16,2020-08-18,14,-0.010982488038277508,-0.003962939118264521,0.007019548920012987
17,2020-08-18,14,-0.011054106280193238,-5.7062937062956125e-6,0.011048399986486943
18,2020-08-18,14,-0.010916932907348235,-0.002797510489510493,0.008119422417837743
19,2020-08-18,14,-0.009038971061093255,-0.003721192739844422,0.0053177783212488335
20,2020-08-18,14,-0.009637692307692299,-0.0037033846153846158,0.005934307692307683
21,2020-08-18,14,-0.008327806451612893,-0.002838167832167832,0.005489638619445061
22,2020-08-18,14,-0.010683696275071633,0.0016981005586592182,0.012381796833730852
23,2020-08-18,14,-0.010638395415472783,5.767389783065029e-4,0.011215134393779285
24,2020-08-18,14,-0.018158048780487806,0.00868783216783217,0.026845880948319974
25,2020-08-18,14,-0.014091358428805238,-0.0018944895104895097,0.012196868918315729
26,2020-08-18,14,-0.013203240589198034,-4.465174825174809e-4,0.012756723106680553
27,2020-08-18,14,-0.012317205240174685,0.006263270440251572,0.018580475680426256
28,2020-08-18,14,-0.013074410480349343,0.0023094339622641473,0.015383844442613492
29,2020-08-18,14,-0.013003508771929823,0.003674853146853143,0.016678361918782966
30,2020-08-18,14,-0.021988817518248185,0.00978058741258741,0.0317694049308356
31,2020-08-18,14,-0.011751500843170328,-0.0027873831123517126,0.008964117730818616
32,2020-08-18,14,-0.013736458684654304,-0.0016912212142358675,0.012045237470418437
33,2020-08-18,14,-0.00436164179104478,0.0010675574112734899,0.005429199202318271
34,2020-08-18,14,-0.011668313458262358,-0.003764843423799579,0.007903470034462779
35,2020-08-18,14,-0.009614639175257735,-0.0027211838440111447,0.006893455331246591
36,2020-08-18,14,-0.009931487179487178,-0.0030898536585365864,0.0068416335209505914
37,2020-08-18,14,-0.014513684210526326,0.007528171334431632,0.02204185554495796
38,2020-08-18,14,-0.010007216494845369,-0.001470962343096238,0.00853625415174913
39,2020-08-18,14,-0.012734974003466206,-1.9874739039670088e-5,0.012715099264426537
