sampledate,RESP.mean,RESP.var,RESP.n,NEP.mean,NEP.var,NEP.n,GPP.mean,GPP.sd,GPP.se,light50_init,light50_final,light50,light_logger,wtemp,kD,estkD
2013-06-08,0.04605746129737031,2.3679092526637514e-4,5,0.1741307414951201,0.002326589090299354,5,0.2201882027924904,0.05062983325634925,0.022642349770135295,300,245,272.5,NaN,16.04,0.5217004738370797,NA
2013-06-15,0.029856416863904865,8.334535976228e-5,4,0.1319362523298322,0.001413264196994092,6,0.16179266919373705,0.03868603826649056,0.016011882237042547,900,580,740,NaN,14.129999999999999,0.3478088317198577,NA
2013-06-22,0.05594248631209212,2.2279118849756742e-4,4,0.20019076648824305,0.001894479984441333,6,0.25613325280033516,0.04601381502265271,0.01927289446860402,430,240,335,NaN,13.870000000000001,0.37830761878478003,NA
2013-06-29,0.034458228247532016,1.5650295008360718e-4,4,0.19732648760449029,0.0028260913928676618,6,0.23178471585202232,0.05461313342916033,0.02258630048647879,1000,400,700,NaN,13.209999999999999,0.6190041538000193,NA
2013-07-08,0.10185601287042344,4.036801311796068e-4,4,0.002288095238095231,0.0028194037891156438,6,0.10414410810851867,0.05677221081035378,0.023891853513576037,50,250,150,NaN,10.23,0.25724837726488337,NA
2013-07-14,0.11485527492765066,0.0011828546574715088,4,0.2143419757958432,0.002373910415232393,6,0.3291972507234938,0.05963862064722743,0.026293828177729135,230,900,565,NaN,12.47,0.3929207124269227,NA
2013-07-20,0.07036420830838226,2.673077064146216e-4,4,0.1452577256630891,3.3920848804330463e-4,6,0.21562193397147134,0.024627549501684616,0.011106830088322807,213,800,506.5,NaN,14.35,0.5411749587066705,NA
2013-07-27,0.11916458762504209,1.2786865562877824e-4,4,0.24975424265421586,0.021907650817698524,6,0.368918830279258,0.1484436575719128,0.06068972153660191,600,600,600,NaN,19.06,0.6121700750867449,NA
2013-08-06,0.00933776718648422,5.772575988120252e-4,4,0.23727480556660355,0.014696793581467391,6,0.24661257275308776,0.12358823236975039,0.05092916646298306,160,220,190,NaN,8.450000000000001,0.493665396127747,NA
2013-08-11,0.03573124340776092,2.7146448920355913e-4,4,0.10872912990685206,0.0013950732743864527,6,0.14446037331461298,0.040823250282039175,0.017331426216518706,75,62,68.5,NaN,10.01,0.42247354663580644,NA
2014-06-02,0.1173187999254437,7.215903554602728e-4,4,0.2846288869717993,6.462639041785863e-4,6,0.401947686897243,0.0369845137812958,0.016973751487561587,215,190,202.5,NaN,12.5,0.34384956630413566,NA
2014-06-09,0.015075277561476103,0.020078430105135,4,0.20308645105420675,0.001448630328160277,6,0.21816172861568287,0.14672102928106548,0.0725330677299014,260,350,305,NaN,16.16,0.3180795391481675,NA
2014-06-19,0.05241252246585189,4.3043681798212005e-5,4,0.12169760810507173,3.0961519092972544e-4,6,0.17411013057092362,0.01877921384744147,0.007897053391688188,124,115,119.5,83820.70465,15.77,0.3388969247505441,NA
2014-06-27,0.0728493927464516,2.034112006397368e-4,4,0.16132934953012099,0.017306774740272462,6,0.2341787422765726,0.13232605919059254,0.05417854978561175,370,126,248,52850.48718,16.03,0.3640079787818079,NA
2014-07-06,0.04701735151188779,6.585369724062925e-5,4,0.21273845110351355,0.006580216428368459,6,0.2597558026154013,0.08152343298468906,0.0333641448619857,175.35,78.02,126.685,NaN,9.54,0.8317639932592831,NA
2014-07-17,0.03633068104756676,3.9208978468824643e-4,4,0.13141769574356277,0.0036070198526854465,6,0.16774837679112953,0.06323851387701716,0.026442246909437105,1225,446,835.5,5636.2725,14.95,0.6193394891796836,NA
2014-08-01,0.0251064783189783,0.01516266123890324,4,0.0812921575125661,0.00253505259520359,6,0.10639863583154441,0.1330327547414802,0.06490896760535539,189,103.5,146.25,3519.814634,11.44,1.6778398816998592,NA
2014-08-09,0.09194274854002284,3.0337087952872824e-4,4,-0.05288627636864343,0.002827384355351065,6,0.039056472171379406,0.055953152144269706,0.023389601231616288,34,47.8,40.9,23313.53315,12.06,1.355017929202298,NA
2014-08-19,0.06610684357541902,1.6343157399893973e-4,4,0.15048970560542338,7.246251187953495e-4,6,0.2165965491808424,0.029800280079124917,0.012713329486499324,249.2,807,528.1,40472.489,9.71,2.393459501828842,NA
2015-05-29,0.03538904097305739,2.548783683124158e-4,4,0.22677846500805257,0.002030229143597767,6,0.26216750598110994,0.0478027981598377,0.020052209753816788,340,108,224,8078.769231,7.609999999999999,0.5249099713758005,NA
2015-06-04,0.039657845667168,1.54718778797196e-4,4,0.16671735371958815,9.866388370630496e-5,6,0.20637519938675614,0.015917998068334504,0.007424531993130375,210,79,144.5,31115.025,6.95,0.3010350305043537,NA
2015-06-11,0.026166433747411996,5.876805864810741e-5,4,0.16457633597837706,8.968963214252841e-5,6,0.19074276972578907,0.012184321515399854,0.005444289364626167,183,127,155,2391.578947,7.27,1.0664357078407556,NA
2015-06-18,0.05046788955545302,3.1470719166984976e-4,4,0.11335330381468997,0.015070288342514868,5,0.163821193370143,0.12403626701164752,0.05561235893594549,205,147.25,176.125,24606.41875,11.488888888888889,0.40612392582875684,NA
2015-06-25,0.06605813455009464,3.6343985930708443e-4,4,0.283725352476214,0.0027763031653977722,6,0.3497834870263086,0.05603340989717524,0.02352822048221525,136.1,333.1,234.60000000000002,79593.7,15.99,0.708274416349607,NA
2015-07-02,0.03794562441317485,9.294305776051037e-5,4,0.06694748054400598,7.891510838257102e-4,6,0.10489310495718084,0.029700069723591908,0.01244029521666371,155,130.03,142.515,22917.2,9.370000000000001,0.8745296154047983,NA
2015-07-11,0.0035665596313663797,6.974760270347705e-5,4,0.04138993337388741,1.5365428356248553e-4,6,0.04495649300525379,0.014946634613382458,0.006560941086176854,244,58.62,151.31,825.8461538,8.73,1.510913899804963,NA
2015-07-20,0.01029479485204518,2.3111163781578114e-4,4,0.04638878068918061,3.809006985629925e-5,6,0.05668357554122579,0.016407367481472472,0.00800788701406277,86.9,146.6,116.75,3620.571429,7.1,2.2830360095216835,NA
2015-07-29,0.047357773374166814,5.519724500878686e-5,4,-0.007997733141175757,0.0020378401212322317,6,0.039360040232991056,0.045749725313284875,0.01879998221960778,123.68,7.25,65.465,9619.692308,12.49,1.410956694800796,NA
2015-08-07,0.022390603335653732,3.70433909417854e-5,4,0.042160215038001804,9.778913302472714e-4,6,0.06455081837365553,0.031858040134149126,0.01312412801331927,79.58,81.25,80.41499999999999,3804,10.71,1.9975897430188323,NA
2016-05-29,0.015930801104972372,7.371951405603088e-10,2,0.12344538606403013,2.4221375030589347e-4,3,0.13937618716900252,0.015563241548630993,0.008985448534502963,600,186,393,32240.2133,11.18,0.7992143275449546,NA
2016-06-05,0.09654367627926111,1.298779073198535e-4,4,0.09761578110024217,0.008288574573316092,6,0.1941594573795033,0.09175212521046008,0.03760184267270216,490,NaN,490,2560.4444,16.62,0.441063765404091,NA
2016-06-11,0.07188935109008639,1.0656345534119327e-4,4,0.14683607943551538,0.0010988481988753406,6,0.21872543052560178,0.03471903878589575,0.014483861029246372,420,270,345,41261.08421,17.23,0.3629470993035981,NA
2016-06-22,0.06222605045804179,1.4897556795091067e-4,4,0.1069895450440369,0.00270510582400657,6,0.1692155955020787,0.05342360332247799,0.02209286904536143,1185.3,730,957.65,49686.45,14.34,0.4155902579910167,NA
2016-07-05,0.10670495955315867,2.3099742569796056e-4,4,0.25034606230023393,0.011883923539705084,6,0.3570510218533926,0.1100678016742546,0.04514867971168892,1000,841.2,920.6,105056.2688,12.96,0.503597804656256,NA
2016-07-18,0.16837353968026783,0.005498605222429359,4,0.5192342222204852,0.007518678493686662,6,0.687607761900753,0.11409331144337963,0.051261724394410006,975,929,952,82667.20714,15.08,0.6501311154825367,NA
2016-08-02,0.054949787775891316,6.703698395071707e-5,4,0.17639872327267536,0.004977815053958233,6,0.23134851104856669,0.07102712184728416,0.029092870059759513,515,290.3,402.65,NaN,12.09,0.4172327325426607,NA
2016-08-17,0.040842315772462834,8.274065928172562e-5,4,0.14389808262324255,0.0024716126949275215,6,0.18474039839570539,0.05054061094020577,0.02079953398456365,380,152,266,46844.76,11.64,0.41504659398724975,NA
2017-05-24,0.06459016064537888,1.1788775859050449e-4,4,0.31628078152656863,0.005682112575409396,6,0.3808709421719475,0.07615773325145582,0.031248851214338402,185,226,205.5,51552.18333,10.99,0.37449410981629705,NA
2017-06-08,0.026727708284394334,3.22094844545542e-4,4,0.17862193658690728,0.002826683373373198,6,0.2053496448713016,0.05611397524608945,0.0234869667411223,260,195,227.5,43400.28333,8.25,0.42223823429481305,NA
2017-06-16,0.04988590716713541,3.0566276518134727e-4,4,0.1378895611195802,0.008636258485894022,6,0.1877754682867156,0.09456173248770017,0.038933174871965,284,165,224.5,3826.285714,11.129999999999999,0.18100078946288364,NA
2017-06-25,-0.009496656356335472,0.0046518547976283214,4,0.1254241500762408,0.0018431736806688805,6,0.11592749371990534,0.08059173951651126,0.03834265657009036,1150,630.9,890.45,99397.49286,9.5,0.42520129226260556,NA
2017-07-05,0.023557889467321385,1.2569515552204784e-4,4,0.13623703964879677,0.007712834775681469,6,0.15979492911611815,0.08853547272818685,0.0362890651780132,500,570,535,53415.73846,15.709999999999999,0.42995040550767516,NA
2017-07-17,0.04315059043166775,1.8525992114049614e-4,4,0.1348617021276596,2.619934698958812e-4,6,0.17801229255932735,0.02114836615524654,0.009485808273473813,566.4,221,393.7,40300.26667,14.74,0.6453201829309811,NA
2017-07-24,0.049924273830233956,0.008099852665799169,4,0.1495712984976255,0.00950072176816712,6,0.19949557232785944,0.1326671565760203,0.06007009900505946,950,NaN,950,126819.03,20.62,0.47598692577332075,NA
2017-08-02,0.023430262128325517,2.969273245778651e-4,4,0.18662111993688962,0.005468328745815705,6,0.21005138206521515,0.07592928335229808,0.031394584810872775,580,840,710,141715.2,13.08,0.48602035178443787,NA
2017-08-20,0.018450812810426022,6.797503768522946e-5,4,0.08923512556092428,0.0029324452933873328,6,0.10768593837135029,0.05477609269629007,0.02248854467617968,240,257,248.5,37075,9.95,0.4267724861717071,NA
2018-06-04,0.06225466973319527,3.0215703291716834e-4,4,0.23964897095702212,0.004353766111754751,6,0.30190364069021736,0.06823432526721371,0.028304892572164102,470,550,510,102994.7848,14.89,0.5257990508765208,NA
2018-06-11,0.03290650146739341,2.410464275178512e-4,4,0.156664996123631,4.242708344584645e-4,6,0.1895714975910244,0.025793744628810986,0.011444361608344094,355,900,627.5,60920.51081,15.12,0.38741857422405335,NA
2018-06-23,0.025958817857762002,1.615249631100136e-4,4,0.12172869579440697,0.0049150652255184986,6,0.14768751365216898,0.07125019430590004,0.02931823286564045,750,314,532,64993.53103,12.940000000000001,0.5038449171078955,NA
2018-07-01,0.057623272259723544,1.0972953221948432e-4,3,0.20409319305250573,0.0019785362550776733,6,0.26171646531222925,0.04569754684112877,0.01913981591480894,200,940,570,114178.529,13.61111111111111,0.4405872757335421,NA
2018-07-12,0.0473182885596494,0.0015901814771424197,4,0.21933364225227778,0.027841945827099136,6,0.2666519308119272,0.17155794153650117,0.07097795202597866,360,900,630,63102.63,12.57,0.7969868564342355,NA
2018-07-20,0.03118082631654058,1.0047634911134665e-4,4,0.11036409063361119,3.893120733641184e-4,6,0.14154491695015176,0.022131164056042443,0.009487066608732284,130,303,216.5,34852.91111,13.66,0.4207933949544563,NA
2018-07-28,0.03620967741935479,3.9318418314255595e-5,4,0.04730113570180553,1.1226626243643237e-4,6,0.08351081312116032,0.012311973064894512,0.005342344833307683,83,96,89.5,27004.64,13.73,1.0071427698799353,NA
2018-08-11,0.04541731955597063,1.4651095296262022e-5,4,0.07735114242439298,1.618564194540517e-4,6,0.1227684619803636,0.013285613073935042,0.0055352365561983094,360,119,239.5,116127.7571,11.84,1.0457242802570743,NA
2018-08-17,0.10392512184237464,9.427530221688214e-5,4,-0.15598307546130263,0.0019278513287015967,6,-0.052057953618927996,0.044968062343384095,0.018570874517313932,5,10,7.5,37041.26154,11.18,1.446256956928711,NA
2019-05-31,0.060787713144463844,6.270717918663268e-4,4,0.06396508492242793,0.004881152005318393,5,0.12475279806689177,0.07421740898997162,0.03366004083524351,1172.2,107,639.6,12808.53333,7.877777777777778,0.4213196258596947,NA
2019-06-10,0.030537582529202596,1.5652250290240094e-5,3,0.08459809074552689,5.49372417031967e-4,6,0.11513567327472948,0.023770247523368516,0.00983765654354436,NaN,NaN,1807.0442020206733,116476.7938,11.6,NA,0.3540131230445098
2019-06-16,0.2281770500025286,5.518585006212157e-4,4,0.2938695424724439,0.001025312195946057,6,0.5220465924749725,0.03971360845563234,0.017574128460504476,NaN,NaN,2028.4502369451536,128134.1656,14.649999999999999,0.3136292213554202,NA
2019-06-22,0.07475469595778939,2.637693181698329e-4,4,0.21550021761597393,0.002801193023342179,6,0.2902549135737633,0.05536210203299737,0.023082630557040535,NaN,NaN,1360.6113110647225,94981.18393,12.66,NA,0.5134880548263254
2019-07-03,0.019594305883879254,1.8700321735994754e-4,4,0.050374100794892046,1.3597410082998227e-4,6,0.0699684066787713,0.017971569719696993,0.008331455723840657,NaN,NaN,834.5702570393541,69974.87879,12.67,NA,0.8798959161892981
2019-07-19,0.07790111940298507,6.530713737227158e-4,4,-0.04178086726776403,0.006194911275331784,6,0.036120252135221034,0.08275253862604155,0.0345796624620018,NaN,NaN,157.31177920454076,17222.33077,12.3,NA,1.4128528054444587
2019-08-01,0.10443349334382585,3.606951131371475e-4,4,0.1480026596494385,0.003621087366535699,6,0.2524361529932644,0.06310136670209962,0.026337963842589844,NaN,NaN,933.4043030635258,126858.4519,16.3,1.8458802779643095,NA
2020-07-21,0.08335668928145802,7.810985974863815e-4,4,0.1416608342655306,0.0011031795598632527,6,0.22501752354698862,0.04340827291369278,0.019471463975489982,93,104,98.5,145126.8833,11.93,1.2201673181926076,NA
2020-07-30,0.032963379436535406,0.0012365975130354963,4,0.2988835172086206,0.0027465304482051705,6,0.331846896645156,0.06311202707282239,0.027693039792694045,360,137,248.5,79704.97,12.94,0.71626993910638,NA
2020-08-12,0.05200907857357996,3.261745113757669e-4,4,0.07600630353856161,5.868667044574066e-4,6,0.12801538211214158,0.030216571874274113,0.013392339050871938,90,55,72.5,69535.175,14.709999999999999,1.6911364441526533,NA
2020-08-22,0.038979221662121505,1.444505749286066e-5,4,0.08268296166784897,1.8452665085130754e-4,6,0.12166218332997047,0.01410573317286869,0.005862227066718451,350.1,195,272.55,101318.5351,11.74,2.2075795930872197,NA
